Epoch 	Iter. 	loss_func(x) 		||grad(x)|| 	||p||

3 	 45 	 4.9514e+01 	2.6555e+00 	1.3277e+00
3 	 46 	 3.8601e+00 	4.1876e+00 	2.0938e+00
3 	 47 	 5.6195e+00 	9.8728e+00 	4.9364e+00
3 	 48 	 1.1825e+01 	1.3286e+01 	6.6429e+00
3 	 49 	 3.9200e+01 	7.9572e+00 	3.9786e+00
3 	 50 	 1.9520e+01 	2.3203e+00 	1.1601e+00
3 	 51 	 2.7072e+00 	4.7223e+00 	2.3612e+00
3 	 52 	 3.8386e+00 	1.2230e+01 	6.1150e+00
3 	 53 	 1.8174e+01 	1.2150e+01 	6.0751e+00
3 	 54 	 3.8092e+01 	8.7281e+00 	4.3640e+00
3 	 55 	 1.4942e+01 	5.6834e+00 	2.8417e+00
3 	 56 	 9.6068e+00 	2.2272e+00 	1.1136e+00
3 	 57 	 2.6301e+00 	2.0025e+00 	1.0012e+00
3 	 58 	 2.9466e+00 	2.1093e+00 	1.0546e+00
3 	 59 	 2.7549e+00 	1.6611e+00 	8.3057e-01
4 	 60 	 2.7682e+00 	1.2297e+00 	6.1483e-01
4 	 61 	 3.9544e+00 	3.5951e-01 	1.7976e-01
4 	 62 	 1.8669e+00 	5.6213e-01 	2.8106e-01
4 	 63 	 2.2717e+00 	3.9458e+00 	1.9729e+00
4 	 64 	 4.0709e+00 	4.7546e+00 	2.3773e+00
4 	 65 	 6.2780e+00 	6.7690e+00 	3.3845e+00
4 	 66 	 5.9209e+00 	1.0975e+01 	5.4876e+00
4 	 67 	 2.0913e+01 	7.9392e+00 	3.9696e+00
4 	 68 	 1.9180e+01 	1.8819e+00 	9.4096e-01
4 	 69 	 2.3784e+00 	1.0714e-01 	5.3572e-02
4 	 70 	 2.0367e+00 	5.4008e-01 	2.7004e-01
4 	 71 	 3.0478e+00 	1.3602e+00 	6.8012e-01
4 	 72 	 2.9444e+00 	5.3935e+00 	2.6967e+00
4 	 73 	 5.5003e+00 	7.0752e+00 	3.5376e+00
4 	 74 	 9.8880e+00 	7.8575e+00 	3.9287e+00
4 	 75 	 1.0773e+01 	1.1467e+01 	5.7335e+00
