[1;30;43mStreaming output truncated to the last 5000 lines.[0m
288  	 1.5704e-01 	1.3499e+00 	2.6998e-02
289  	 1.0191e-01 	2.2947e+00 	4.5893e-02
290  	 8.3051e-02 	1.8087e+00 	3.6174e-02
291  	 1.0196e-01 	8.8889e-01 	1.7778e-02
292  	 9.2243e-02 	2.0228e+00 	4.0456e-02
293  	 1.3485e-01 	6.8599e-01 	1.3720e-02
294  	 6.8510e-02 	1.3589e-01 	2.7178e-03
295  	 2.7771e-02 	1.1810e+00 	2.3619e-02
296  	 1.0510e-01 	1.3251e+00 	2.6502e-02
297  	 2.0120e-01 	4.0305e+00 	8.0610e-02
298  	 1.6092e-01 	1.4137e+00 	2.8273e-02
299  	 5.8422e-02 	9.0891e-01 	1.8178e-02
300  	 1.7218e-01 	7.3892e-01 	1.4778e-02
301  	 1.6099e-01 	4.9132e-01 	9.8264e-03
302  	 1.3170e-01 	6.7808e-01 	1.3562e-02
303  	 4.3100e-02 	1.9468e-01 	3.8935e-03
304  	 6.7893e-02 	6.0231e-01 	1.2046e-02
305  	 1.5281e-01 	8.6372e-01 	1.7274e-02
306  	 1.2846e-01 	6.5763e-01 	1.3153e-02
307  	 1.3954e-01 	2.1050e+00 	4.2101e-02
308  	 9.6563e-02 	3.9086e+00 	7.8172e-02
309  	 1.7182e-01 	3.7137e+00 	7.4275e-02
310  	 1.6147e-01 	8.2109e-01 	1.6422e-02
311  	 8.3014e-02 	1.2256e+00 	2.4511e-02
312  	 1.5720e-01 	6.8949e-01 	1.3790e-02
313  	 1.1596e-01 	2.5116e+00 	5.0232e-02
314  	 1.1324e-01 	3.2668e+00 	6.5336e-02
315  	 1.3258e-01 	6.8190e-01 	1.3638e-02
316  	 1.5159e-01 	2.7141e+00 	5.4281e-02
317  	 1.5878e-01 	4.6383e-01 	9.2765e-03
318  	 8.4726e-02 	4.1564e+00 	8.3128e-02
319  	 1.7367e-01 	3.3964e+00 	6.7927e-02
320  	 1.9786e-01 	7.1773e-01 	1.4355e-02
321  	 8.0839e-02 	2.7649e+00 	5.5298e-02
322  	 1.1373e-01 	4.9517e+00 	9.9033e-02
323  	 2.7748e-01 	6.1078e+00 	1.2216e-01
324  	 2.4226e-01 	1.5426e+00 	3.0851e-02
